"t" "Rc"
5.000000000000000000e-01 3.555254211455442146e+02
5.050000000000000044e-01 3.604020788208185877e+02
5.100000000000000089e-01 3.654054716340805840e+02
5.150000000000000133e-01 3.705403586814839514e+02
5.200000000000000178e-01 3.758117334363879536e+02
5.250000000000000222e-01 3.812248380935657224e+02
5.300000000000000266e-01 3.867851789670078233e+02
5.350000000000000311e-01 3.924985430320006685e+02
5.400000000000000355e-01 3.983710157111100330e+02
5.450000000000000400e-01 4.044090000135746550e+02
5.500000000000000444e-01 4.106192371489072457e+02
5.550000000000000488e-01 4.170088287476681330e+02
5.600000000000000533e-01 4.235852608364133403e+02
5.649999999999999467e-01 4.303564297290906779e+02
5.700000000000000622e-01 4.373306700145878949e+02
5.749999999999999556e-01 4.445167848394930274e+02
5.799999999999999600e-01 4.519240787068901568e+02
5.849999999999999645e-01 4.595623930364689045e+02
5.899999999999999689e-01 4.674421447588842966e+02
5.949999999999999734e-01 4.755743682482922168e+02
5.999999999999999778e-01 4.839707609320912525e+02
6.049999999999999822e-01 4.926437329567301049e+02
6.099999999999999867e-01 5.016064613333068678e+02
6.149999999999999911e-01 5.108729490378663058e+02
6.199999999999999956e-01 5.204580895993705099e+02
6.250000000000000000e-01 5.303777377745583408e+02
6.300000000000000044e-01 5.406487869843161889e+02
6.350000000000000089e-01 5.512892542728387753e+02
6.400000000000000133e-01 5.623183736495096809e+02
6.450000000000000178e-01 5.737566987874492952e+02
6.500000000000000222e-01 5.856262161832958100e+02
6.550000000000000266e-01 5.979504700335425014e+02
6.600000000000000311e-01 6.107547002572981683e+02
6.650000000000000355e-01 6.240659952970805762e+02
6.700000000000000400e-01 6.379134615638074592e+02
6.750000000000000444e-01 6.523284116652694138e+02
6.799999999999999378e-01 6.673445738756330456e+02
6.850000000000000533e-01 6.829983256767037574e+02
6.899999999999999467e-01 6.993289546389469251e+02
6.950000000000000622e-01 7.163789504250448772e+02
6.999999999999999556e-01 7.341943323065165714e+02
7.050000000000000711e-01 7.528250173031184431e+02
7.099999999999999645e-01 7.723252349090910229e+02
7.149999999999999689e-01 7.927539953883529051e+02
7.199999999999999734e-01 8.141756198379158604e+02
7.249999999999999778e-01 8.366603416793784618e+02
7.299999999999999822e-01 8.602849909978250480e+02
7.349999999999999867e-01 8.851337752747775767e+02
7.399999999999999911e-01 9.112991726443390235e+02
7.449999999999999956e-01 9.388829569512072339e+02
7.500000000000000000e-01 9.679973777454229094e+02
7.550000000000000044e-01 9.987665230939596768e+02
7.600000000000000089e-01 1.031327898955784121e+03
7.650000000000000133e-01 1.065834266157304683e+03
7.700000000000000178e-01 1.102455785113516640e+03
7.750000000000000222e-01 1.141382529883812595e+03
7.800000000000000266e-01 1.182827447615198253e+03
7.850000000000000311e-01 1.227029857820561347e+03
7.900000000000000355e-01 1.274259609490005232e+03
7.949999999999999289e-01 1.324822044393323267e+03
8.000000000000000444e-01 1.379063954363742823e+03
8.049999999999999378e-01 1.437380771967192686e+03
8.100000000000000533e-01 1.500225302091026379e+03
8.149999999999999467e-01 1.568118392713171716e+03
8.200000000000000622e-01 1.641662065085720315e+03
8.249999999999999556e-01 1.721555789213782191e+03
8.300000000000000711e-01 1.808616817925628993e+03
8.349999999999999645e-01 1.903805808713030046e+03
8.400000000000000799e-01 2.008259406833873527e+03
8.449999999999999734e-01 2.123332096688714500e+03
8.500000000000000888e-01 2.250650545181542839e+03
8.549999999999999822e-01 2.392185008682010448e+03
8.599999999999999867e-01 2.550344392167487058e+03
8.649999999999999911e-01 2.728104625763321565e+03
8.699999999999999956e-01 2.929184817351264428e+03
8.750000000000000000e-01 3.158293285294349516e+03
8.800000000000000044e-01 3.421478092003963411e+03
8.850000000000000089e-01 3.726637799540350443e+03
8.900000000000000133e-01 4.084284934971779876e+03
8.950000000000000178e-01 4.508721175419273095e+03
9.000000000000000222e-01 5.019908949598713662e+03
9.050000000000000266e-01 5.646573899013286791e+03
9.100000000000000311e-01 6.431599299314612836e+03
9.150000000000000355e-01 7.441966259818271283e+03
9.199999999999999289e-01 8.788441443479754525e+03
9.250000000000000444e-01 1.066834855396487001e+04
9.299999999999999378e-01 1.347068495313213134e+04
9.350000000000000533e-01 1.808367448812210932e+04
9.399999999999999467e-01 2.707475885684054811e+04
9.450000000000000622e-01 5.222070637740599341e+04
9.499999999999999556e-01 5.153324509790444281e+05
